"","PC1","PC2","PC3","time"
"1",0.143423787398872,0,0.565225182839843,0
"2",0.0420645224251482,0.336988014647549,0.367161468037979,4
"3",0.00277380858690246,0.525939844584214,0.710986283272716,8
"4",0.156502894965916,0,0.0370539930575468,12
"5",0.15128032092584,0.145278804905398,0.00541361409251509,13
"6",0.179318031103083,0.138504508195826,0.0261933724367713,16
"7",0.151488546379361,0.0100353802838048,0.0889833750109696,18
"8",0.13700054858882,0.270515928757335,0,21
"9",0.147377530530169,0.138074895366689,0,22
"10",0.151901777140735,0.0567634369231563,0,24
"11",0.163461816311701,0.0787014722255447,0.0501327642135094,25
"12",0.169884904725153,0.0721993922321055,0,26
"13",0.145865876750424,0.224065409832836,0.13445494977899,29
"14",0.147195750067418,0.181018823836333,0,30
"15",0.149835892386339,0.208148940792419,0.020424348589614,32
"16",0.156371040933185,0.0831816987300986,0,34
"17",0.175942557109499,0.090336823794142,0.00117460412648688,35
"18",0.150758770817434,0.0800474582715696,0.00935798270453814,38
"19",0.14475512426017,0.169329832579987,0.0143928315319055,39
"20",0.146745277668393,0.205690350179295,0.0047485566619777,40
"21",0.165941772504576,0.0770469465409799,0,43
"22",0.143998073990958,0.0999821504022551,0.0759911853447984,47
"23",0.152927058195193,0.153996861882005,0,48
"24",0.142748374820262,0.245844739769752,0,49
"25",0.162457852786736,0.0767012682258094,0,51
"26",0.154610790024003,0.0252357918703213,0,52
"27",0.125777015633699,0.0558835310936781,0,55
"28",0.142557500328309,0.119575625026134,0,56
"29",0.15040671717873,0.12375858469137,0,57
"30",0.14201998875714,0.207334233210982,0,58
"31",0.149487113222336,0.0471370323154223,0,60
"32",0.139315697300548,0.0546736219721953,0,65
"33",0.137921824540232,0.114824168583786,0,66
"34",0.14668940117479,0.0448832757163808,0,67
"35",0.15292060576334,0.0719122628264167,0,68
"36",0.157910748497715,0.0373808787437935,0,70
"37",0.138280334517392,0.0856045730287528,0,73
"38",0.145210354721163,0.043438277296885,0,75
"39",0.171390506549378,0.0568378871059274,0,77
"40",0.144477390743839,0.0605345418054504,0,78
"41",0.157919304092001,0.0506375490924181,0.0557056451780189,79
"42",0.123259439767639,0,0,82
"43",0.136140948467744,0.0945789566991974,0,83
"44",0.160987804424577,0,0,84
"45",0.158735815801225,0.0618310051637264,0,86
"46",0.133747280146167,0.0551598465198924,0,87
